method,grid_size,mag_bits,orientation_bits,edge_bits,bytes_per_patch,compression_ratio,recall_1px,recall_2px,recall_5px,rmse_px,median_error_px,p95_error_px,top1_matching_success,recall_at_1,recall_at_5,evaluated_pairs,failed_pairs,mode,quantization,logical_bits,stored_bits,config_id
spatial_percentile_hamming,8.0,1.0,0.0,0.0,8.0,8192.0,0.5,0.75,1.0,1.6322062437762679,1.390604701576138,2.2834425245334677,0.75,0.75,1.0,4,0,mag_orientation,percentile,64.0,64.0,cfg_000
spatial_percentile_hamming,8.0,1.0,0.0,1.0,16.0,4096.0,0.5,1.0,1.0,1.2914828703994259,1.154591003828018,1.8536423217650662,1.0,1.0,1.0,4,0,mag_orientation,percentile,128.0,128.0,cfg_001
spatial_percentile_hamming,8.0,1.0,1.0,0.0,16.0,4096.0,0.5,0.75,1.0,1.30733475042158,0.9609949289947046,2.0235088551038363,0.75,0.75,1.0,4,0,mag_orientation,percentile,128.0,128.0,cfg_002
spatial_percentile_hamming,8.0,2.0,0.0,0.0,16.0,4096.0,0.5,0.5,1.0,1.6305676270612643,1.5620474055639444,2.1560641929882594,0.5,0.5,1.0,4,0,mag_orientation,percentile,128.0,128.0,cfg_008
spatial_percentile_hamming,8.0,1.0,1.0,1.0,24.0,2730.6666666666665,0.5,1.0,1.0,1.1461043794036756,0.9983626622819605,1.6785965809755616,1.0,1.0,1.0,4,0,mag_orientation,percentile,192.0,192.0,cfg_003
spatial_percentile_hamming,8.0,2.0,0.0,1.0,24.0,2730.6666666666665,0.75,1.0,1.0,0.9303777074776887,0.5590882398449313,1.515572664027956,1.0,1.0,1.0,4,0,mag_orientation,percentile,192.0,192.0,cfg_009
spatial_percentile_hamming,8.0,1.0,2.0,0.0,24.0,2730.6666666666665,0.75,0.75,1.0,1.1605317826593615,0.5964491899303319,1.9324781728313023,0.75,0.75,1.0,4,0,mag_orientation,percentile,192.0,192.0,cfg_004
spatial_percentile_hamming,8.0,2.0,1.0,0.0,24.0,2730.6666666666665,0.5,0.75,1.0,1.3098154630128485,0.9820743784136433,1.9781283775309748,0.75,0.75,1.0,4,0,mag_orientation,percentile,192.0,192.0,cfg_010
spatial_percentile_hamming,8.0,1.0,2.0,1.0,32.0,2048.0,0.75,1.0,1.0,0.6798396639573719,0.47059048676718357,1.0774373625072593,1.0,1.0,1.0,4,0,mag_orientation,percentile,256.0,256.0,cfg_005
spatial_percentile_hamming,8.0,1.0,3.0,0.0,32.0,2048.0,1.0,1.0,1.0,0.5256536219382819,0.44556129495272767,0.7449002610391391,1.0,1.0,1.0,4,0,mag_orientation,percentile,256.0,256.0,cfg_006
spatial_percentile_hamming,8.0,2.0,1.0,1.0,32.0,2048.0,0.75,1.0,1.0,0.7479912283657066,0.5131370632479795,1.1403085621330171,1.0,1.0,1.0,4,0,mag_orientation,percentile,256.0,256.0,cfg_011
spatial_percentile_hamming,8.0,2.0,2.0,0.0,32.0,2048.0,0.75,1.0,1.0,0.6563644571987457,0.493744243439031,0.9909249586407658,1.0,1.0,1.0,4,0,mag_orientation,percentile,256.0,256.0,cfg_012
spatial_percentile_hamming,8.0,4.0,0.0,0.0,32.0,2048.0,0.75,1.0,1.0,0.6873526998945398,0.4443903735964415,1.0919674285785228,1.0,1.0,1.0,4,0,mag_orientation,percentile,256.0,256.0,cfg_016
spatial_percentile_hamming,16.0,1.0,0.0,0.0,32.0,2048.0,1.0,1.0,1.0,0.4474060726873909,0.4159411060890964,0.5417311219344679,1.0,1.0,1.0,4,0,mag_orientation,percentile,256.0,256.0,cfg_024
median_binary_g16,,,,,32.0,2048.0,0.75,1.0,1.0,0.6695308842303449,0.4901457421104615,0.9833277762399525,1.0,1.0,1.0,4,0,,,,,baseline_median_binary
spatial_percentile_hamming,8.0,1.0,3.0,1.0,40.0,1638.4,0.75,1.0,1.0,0.7721931238911073,0.5398445647828555,1.180541027494979,1.0,1.0,1.0,4,0,mag_orientation,percentile,320.0,320.0,cfg_007
spatial_percentile_hamming,8.0,2.0,2.0,1.0,40.0,1638.4,0.75,1.0,1.0,0.6276447055730158,0.3694538625093551,1.0111538566435494,1.0,1.0,1.0,4,0,mag_orientation,percentile,320.0,320.0,cfg_013
