"rank","pair_id","method","error_px","soft_ratio_patch","gt_x","gt_y","pred_x","pred_y","figure"
"1","ctx_51RUQ_000330","sobel_orientation_g16_b2_uniform_uniform_l1_r64","14.075478645117796","0.97698974609375","192.05822721437207","190.85349470506","205.5999986267069","187.01428565823304","failure_01_ctx_51RUQ_000330.png"
"2","ctx_51SUR_000420","sobel_orientation_g16_b2_uniform_uniform_l1_r64","8.182721034488129","0.959075927734375","192.03920866548185","190.85556729706445","199.26923059993936","194.6874997541307","failure_02_ctx_51SUR_000420.png"
"3","ctx_51RVQ_000014","sobel_orientation_g16_b2_uniform_uniform_l1_r64","6.699299359377742","0.881988525390625","191.7103432914317","190.54820092966108","193.90909076722204","184.2200004394534","failure_03_ctx_51RVQ_000014.png"
"4","ctx_51RUQ_000005","sobel_orientation_g16_b2_uniform_uniform_l1_r64","4.347220836198376","0.93963623046875","192.00580872392305","190.75352353895008","196.2058826697328","191.87499928474563","failure_04_ctx_51RUQ_000005.png"
"5","ctx_51SVR_000051","sobel_orientation_g16_b2_uniform_uniform_l1_r64","4.247643232730352","0.9446258544921876","192.0447129907621","191.81159316470865","187.79999994277955","191.6538459845549","failure_05_ctx_51SVR_000051.png"
"6","ctx_51SUR_000284","sobel_orientation_g16_b2_uniform_uniform_l1_r64","4.238112586555652","0.4326324462890625","191.9455319586234","190.9195840745456","192.75","195.08064517319883","failure_06_ctx_51SUR_000284.png"
"7","ctx_51RVQ_000135","sobel_orientation_g16_b2_uniform_uniform_l1_r64","4.139158891048445","0.963623046875","191.97154422120616","191.39903233893207","190.09999923706056","195.09090932735745","failure_07_ctx_51RVQ_000135.png"
"8","ctx_51RVQ_000214","sobel_orientation_g16_b2_uniform_uniform_l1_r64","4.080044700037337","0.53363037109375","191.89331367867493","191.1319800045057","192.5","195.16666666666669","failure_08_ctx_51RVQ_000214.png"
"9","ctx_51SUR_000451","sobel_orientation_g16_b2_uniform_uniform_l1_r64","3.872158262380693","0.263641357421875","191.95052948312","190.9197544528428","188.078947685432","190.8529413348664","failure_09_ctx_51SUR_000451.png"
"10","ctx_51SUR_000412","sobel_orientation_g16_b2_uniform_uniform_l1_r64","3.781849616495409","0.96331787109375","191.9590431922265","190.71236712435748","188.21428583106223","191.24074088202585","failure_10_ctx_51SUR_000412.png"
"11","ctx_51SUR_000314","sobel_orientation_g16_b2_uniform_uniform_l1_r64","3.562999926656285","0.4614715576171875","191.95082219769185","190.9403533309544","191.79629631199464","194.50000081743423","failure_11_ctx_51SUR_000314.png"
"12","ctx_51SUR_000593","sobel_orientation_g16_b2_uniform_uniform_l1_r64","3.393281365783353","0.953765869140625","191.9716880020713","191.0582301080812","194.86363664737468","192.8333333333333","failure_12_ctx_51SUR_000593.png"
"13","ctx_51SUR_000158","sobel_orientation_g16_b2_uniform_uniform_l1_r64","3.3565730961389826","0.8106231689453125","191.9547478216341","190.86133428370167","195.25000023841835","191.50000044015712","failure_13_ctx_51SUR_000158.png"
"14","ctx_51SUR_000203","sobel_orientation_g16_b2_uniform_uniform_l1_r64","3.3375132096371227","0.796295166015625","191.98006417100936","191.15469277890745","191.12499928474563","187.92857150642232","failure_14_ctx_51SUR_000203.png"
"15","ctx_51SUR_000447","sobel_orientation_g16_b2_uniform_uniform_l1_r64","3.3028878789797376","0.5546417236328125","191.93366377460856","190.86678984948577","193.93478258706224","188.23913084581815","failure_15_ctx_51SUR_000447.png"
"16","ctx_51SUR_000503","sobel_orientation_g16_b2_uniform_uniform_l1_r64","3.258231215239148","0.8998260498046875","191.9631708536681","190.8457507821165","189.19230742144188","189.13157853525496","failure_16_ctx_51SUR_000503.png"
"17","ctx_51RVQ_000016","sobel_orientation_g16_b2_uniform_uniform_l1_r64","3.2346321368948656","0.55206298828125","191.9705058859478","191.21323947211525","188.95454517080805","192.38235282237977","failure_17_ctx_51RVQ_000016.png"
"18","ctx_51RVQ_000196","sobel_orientation_g16_b2_uniform_uniform_l1_r64","3.2197816572005657","0.925201416015625","191.972351181242","191.12205862760783","189.33333317438775","192.9666664123535","failure_18_ctx_51RVQ_000196.png"
"19","ctx_51RVQ_000064","sobel_orientation_g16_b2_uniform_uniform_l1_r64","3.1085758001375927","0.7038116455078125","191.93769515999392","191.411799149701","188.83333297002844","191.25000020435905","failure_19_ctx_51RVQ_000064.png"
"20","ctx_51SUR_000638","sobel_orientation_g16_b2_uniform_uniform_l1_r64","3.0867423530569083","0.876434326171875","192.00357151550404","190.828536551984","195.01851864410517","190.16666634877552","failure_20_ctx_51SUR_000638.png"
