method,family,distance,grid_size,bits,quantization,weighting,search_radius_px,bytes_per_patch,compression_ratio,recall_0_5px,recall_1px,recall_2px,recall_5px,recall_at_1_0_5px,recall_at_1_1px,recall_at_1_5px,top1_matching_success_2px,recall_at_1_2px,integer_recall_1px,integer_recall_2px,recall_at_5_0_5px,recall_at_5_1px,recall_at_5_2px,recall_at_5_5px,rmse_px,median_error_px,p95_error_px,catastrophic_failure_rate_gt5px,catastrophic_failure_rate_gt10px,evaluated_pairs,failed_pairs
dct_sign_g16_b1_median_uniform_hamming_r64,dct_sign,hamming,16,1,median,uniform,64,32.0,2048.0,0.13509933774834437,0.3920529801324503,0.7615894039735099,0.9841059602649007,0.13509933774834437,0.3920529801324503,0.9841059602649007,0.7615894039735099,0.7615894039735099,0.31390728476821195,0.6913907284768211,0.1947019867549669,0.5695364238410596,0.9682119205298013,0.9947019867549669,4.168974550002646,1.2042966376547657,3.461455100320833,0.015894039735099338,0.006622516556291391,755,0
dct_sign_g16_b1_median_uniform_l1_r64,dct_sign,l1,16,1,median,uniform,64,32.0,2048.0,0.13509933774834437,0.3920529801324503,0.7615894039735099,0.9841059602649007,0.13509933774834437,0.3920529801324503,0.9841059602649007,0.7615894039735099,0.7615894039735099,0.31390728476821195,0.6913907284768211,0.1947019867549669,0.5695364238410596,0.9682119205298013,0.9947019867549669,4.168974550002646,1.2042966376547657,3.461455100320833,0.015894039735099338,0.006622516556291391,755,0
dct_sign_g16_b1_median_uniform_l2_r64,dct_sign,l2,16,1,median,uniform,64,32.0,2048.0,0.13642384105960265,0.39072847682119205,0.7615894039735099,0.9841059602649007,0.13642384105960265,0.39072847682119205,0.9841059602649007,0.7615894039735099,0.7615894039735099,0.31390728476821195,0.6913907284768211,0.19602649006622516,0.5682119205298013,0.9682119205298013,0.9947019867549669,4.16928524884789,1.2039092703341443,3.4640819323470557,0.015894039735099338,0.006622516556291391,755,0
dct_sign_g16_b1_median_uniform_cosine_r64,dct_sign,cosine,16,1,median,uniform,64,32.0,2048.0,0.1271523178807947,0.376158940397351,0.7509933774834437,0.9814569536423841,0.1271523178807947,0.376158940397351,0.9814569536423841,0.7509933774834437,0.7509933774834437,0.3125827814569536,0.6847682119205298,0.18543046357615894,0.543046357615894,0.9615894039735099,0.9960264900662251,4.08202569277203,1.252520294704119,3.5438068193435024,0.018543046357615896,0.006622516556291391,755,0
sobel_orientation_g16_b2_uniform_uniform_l1_r64,sobel_orientation,l1,16,2,uniform,uniform,64,64.0,1024.0,0.33112582781456956,0.6913907284768211,0.9218543046357616,0.9960264900662251,0.33112582781456956,0.6913907284768211,0.9960264900662251,0.9218543046357616,0.9218543046357616,0.5536423841059602,0.8927152317880794,0.34966887417218545,0.7788079470198676,0.9933774834437086,1.0,1.2948498940715838,0.7434265300437819,2.2514440890391847,0.003973509933774834,0.0013245033112582781,755,0
sobel_orientation_g16_b2_uniform_uniform_hamming_r64,sobel_orientation,hamming,16,2,uniform,uniform,64,64.0,1024.0,0.29403973509933773,0.6556291390728477,0.9006622516556292,0.9986754966887417,0.29403973509933773,0.6556291390728477,0.9986754966887417,0.9006622516556292,0.9006622516556292,0.5350993377483444,0.8701986754966887,0.3258278145695364,0.7549668874172185,0.9894039735099338,0.9986754966887417,2.6133870572419657,0.7794873187710124,2.656302799841939,0.0013245033112582781,0.0013245033112582781,755,0
rank_transform_g16_b2_percentile_uniform_l1_r64,rank_transform,l1,16,2,percentile,uniform,64,64.0,1024.0,0.6609271523178808,0.8251655629139073,0.8768211920529801,0.9086092715231788,0.6609271523178808,0.8251655629139073,0.9086092715231788,0.8768211920529801,0.8768211920529801,0.776158940397351,0.8688741721854305,0.6768211920529801,0.8675496688741722,0.9218543046357616,0.9390728476821192,13.839642963689032,0.2835809242982928,36.309463580376644,0.0913907284768212,0.08211920529801324,755,0
lbp_g16_b2_percentile_uniform_l1_r64,lbp,l1,16,2,percentile,uniform,64,64.0,1024.0,0.36423841059602646,0.6900662251655629,0.8768211920529801,0.9589403973509933,0.36423841059602646,0.6900662251655629,0.9589403973509933,0.8768211920529801,0.8768211920529801,0.5827814569536424,0.8516556291390729,0.3894039735099338,0.776158940397351,0.9536423841059603,0.9801324503311258,4.467900503033466,0.682242060290992,3.968753411108961,0.04105960264900662,0.017218543046357615,755,0
sobel_mag_g16_b2_percentile_uniform_cosine_r64,sobel_mag,cosine,16,2,percentile,uniform,64,64.0,1024.0,0.20927152317880796,0.5337748344370861,0.8701986754966887,0.9960264900662251,0.20927152317880796,0.5337748344370861,0.9960264900662251,0.8701986754966887,0.8701986754966887,0.40927152317880794,0.8211920529801324,0.2370860927152318,0.6516556291390728,0.9814569536423841,1.0,1.4413957163883275,0.9569661752355532,2.7331911400255664,0.003973509933774834,0.0,755,0
rank_transform_g16_b2_percentile_uniform_l2_r64,rank_transform,l2,16,2,percentile,uniform,64,64.0,1024.0,0.6662251655629139,0.8172185430463577,0.8701986754966887,0.9072847682119205,0.6662251655629139,0.8172185430463577,0.9072847682119205,0.8701986754966887,0.8701986754966887,0.7682119205298014,0.8675496688741722,0.6768211920529801,0.8503311258278146,0.9205298013245033,0.9390728476821192,14.990260850111426,0.2974283404393097,42.054777988882115,0.09271523178807947,0.08344370860927153,755,0
sobel_mag_g16_b2_percentile_uniform_l2_r64,sobel_mag,l2,16,2,percentile,uniform,64,64.0,1024.0,0.19072847682119207,0.5059602649006623,0.8675496688741722,0.9960264900662251,0.19072847682119207,0.5059602649006623,0.9960264900662251,0.8675496688741722,0.8675496688741722,0.40794701986754967,0.8,0.2185430463576159,0.6291390728476821,0.9748344370860927,1.0,3.5162240999478676,0.9930670031216222,2.7497843071157257,0.003973509933774834,0.0026490066225165563,755,0
lbp_g16_b2_percentile_uniform_l2_r64,lbp,l2,16,2,percentile,uniform,64,64.0,1024.0,0.3615894039735099,0.6847682119205298,0.866225165562914,0.9576158940397351,0.3615894039735099,0.6847682119205298,0.9576158940397351,0.866225165562914,0.866225165562914,0.5761589403973509,0.8410596026490066,0.3841059602649007,0.7629139072847683,0.9509933774834437,0.9814569536423841,8.269647554431346,0.6896143192217179,4.446534533678101,0.0423841059602649,0.026490066225165563,755,0
scharr_mag_g16_b2_percentile_uniform_l1_r64,scharr_mag,l1,16,2,percentile,uniform,64,64.0,1024.0,0.2119205298013245,0.5456953642384106,0.8649006622516556,0.9880794701986755,0.2119205298013245,0.5456953642384106,0.9880794701986755,0.8649006622516556,0.8649006622516556,0.447682119205298,0.8185430463576159,0.2410596026490066,0.6701986754966888,0.9748344370860927,0.9973509933774835,3.366833218756581,0.9349455887096136,2.7956418964460226,0.011920529801324504,0.0026490066225165563,755,0
scharr_mag_g16_b2_percentile_uniform_cosine_r64,scharr_mag,cosine,16,2,percentile,uniform,64,64.0,1024.0,0.18940397350993377,0.5364238410596026,0.8635761589403973,0.9920529801324504,0.18940397350993377,0.5364238410596026,0.9920529801324504,0.8635761589403973,0.8635761589403973,0.423841059602649,0.8092715231788079,0.21721854304635763,0.6543046357615894,0.976158940397351,1.0,1.445307203338303,0.9468614131882362,2.6181311525957276,0.007947019867549669,0.0,755,0
sobel_mag_g16_b2_percentile_uniform_l1_r64,sobel_mag,l1,16,2,percentile,uniform,64,64.0,1024.0,0.2,0.5403973509933775,0.8609271523178808,0.9920529801324504,0.2,0.5403973509933775,0.9920529801324504,0.8609271523178808,0.8609271523178808,0.4304635761589404,0.8052980132450331,0.2370860927152318,0.6582781456953642,0.976158940397351,0.9973509933774835,3.4594270413037846,0.9377395841693876,2.7501587286742284,0.007947019867549669,0.0026490066225165563,755,0
lbp_g16_b2_percentile_uniform_cosine_r64,lbp,cosine,16,2,percentile,uniform,64,64.0,1024.0,0.352317880794702,0.6344370860927152,0.8556291390728477,0.952317880794702,0.352317880794702,0.6344370860927152,0.952317880794702,0.8556291390728477,0.8556291390728477,0.5562913907284768,0.8264900662251655,0.3827814569536424,0.7470198675496689,0.9509933774834437,0.9788079470198675,7.980008918013363,0.7256651766685142,4.365725843642174,0.04768211920529802,0.031788079470198675,755,0
scharr_mag_g16_b2_percentile_uniform_l2_r64,scharr_mag,l2,16,2,percentile,uniform,64,64.0,1024.0,0.19205298013245034,0.5125827814569537,0.8503311258278146,0.9933774834437086,0.19205298013245034,0.5125827814569537,0.9933774834437086,0.8503311258278146,0.8503311258278146,0.39867549668874175,0.7827814569536424,0.22649006622516557,0.633112582781457,0.9801324503311258,0.9986754966887417,2.504097372301938,0.980201901815366,2.7522236968008,0.006622516556291391,0.0013245033112582781,755,0
rank_transform_g16_b2_percentile_uniform_cosine_r64,rank_transform,cosine,16,2,percentile,uniform,64,64.0,1024.0,0.6437086092715232,0.8092715231788079,0.8503311258278146,0.8887417218543047,0.6437086092715232,0.8092715231788079,0.8887417218543047,0.8503311258278146,0.8503311258278146,0.7576158940397351,0.8490066225165563,0.6662251655629139,0.8503311258278146,0.9112582781456954,0.9218543046357616,17.491839859374135,0.3172231305992121,54.57851945202835,0.11125827814569536,0.09933774834437085,755,0
sobel_orientation_g16_b2_uniform_uniform_cosine_r64,sobel_orientation,cosine,16,2,uniform,uniform,64,64.0,1024.0,0.18410596026490067,0.4860927152317881,0.8172185430463577,0.9801324503311258,0.18410596026490067,0.4860927152317881,0.9801324503311258,0.8172185430463577,0.8172185430463577,0.3880794701986755,0.7814569536423841,0.223841059602649,0.6264900662251656,0.9682119205298013,0.9986754966887417,2.9686348689917574,1.0234783072468765,3.372079831930334,0.019867549668874173,0.003973509933774834,755,0
sobel_orientation_g16_b2_uniform_uniform_l2_r64,sobel_orientation,l2,16,2,uniform,uniform,64,64.0,1024.0,0.18675496688741722,0.48874172185430464,0.8119205298013245,0.9814569536423841,0.18675496688741722,0.48874172185430464,0.9814569536423841,0.8119205298013245,0.8119205298013245,0.39072847682119205,0.7788079470198676,0.2304635761589404,0.6251655629139072,0.9668874172185431,0.9986754966887417,1.9415206976926203,1.017227191460418,3.440280331985658,0.018543046357615896,0.003973509933774834,755,0
sobel_mag_g16_b2_percentile_uniform_hamming_r64,sobel_mag,hamming,16,2,percentile,uniform,64,64.0,1024.0,0.16821192052980133,0.45827814569536424,0.8026490066225166,0.9682119205298013,0.16821192052980133,0.45827814569536424,0.9682119205298013,0.8026490066225166,0.8026490066225166,0.37350993377483444,0.7549668874172185,0.20132450331125828,0.5788079470198676,0.9456953642384106,0.9920529801324504,5.108355548843642,1.063727592890466,3.8236460709230036,0.031788079470198675,0.009271523178807948,755,0
scharr_mag_g16_b2_percentile_uniform_hamming_r64,scharr_mag,hamming,16,2,percentile,uniform,64,64.0,1024.0,0.1695364238410596,0.4728476821192053,0.8026490066225166,0.9708609271523179,0.1695364238410596,0.4728476821192053,0.9708609271523179,0.8026490066225166,0.8026490066225166,0.37748344370860926,0.7496688741721854,0.20927152317880796,0.6052980132450331,0.9430463576158941,0.990728476821192,3.9279690808394556,1.0530214403761204,3.704019106649065,0.02913907284768212,0.007947019867549669,755,0
