method,family,distance,grid_size,bits,quantization,weighting,search_radius_px,bytes_per_patch,compression_ratio,recall_0_5px,recall_1px,recall_2px,recall_5px,recall_at_1_0_5px,recall_at_1_1px,recall_at_1_5px,top1_matching_success_2px,recall_at_1_2px,integer_recall_1px,integer_recall_2px,recall_at_5_0_5px,recall_at_5_1px,recall_at_5_2px,recall_at_5_5px,rmse_px,median_error_px,p95_error_px,catastrophic_failure_rate_gt5px,catastrophic_failure_rate_gt10px,evaluated_pairs,failed_pairs
grid_mag_orientation_g8_m1_o0_e0_percentile_hamming_r64,grid_mag_orientation,hamming,8,1,percentile,uniform,64,8.0,8192.0,0.010596026490066225,0.04370860927152318,0.16423841059602648,0.5364238410596026,0.010596026490066225,0.04370860927152318,0.5364238410596026,0.16423841059602648,0.16423841059602648,0.03443708609271523,0.13245033112582782,0.046357615894039736,0.13509933774834437,0.43443708609271525,0.8278145695364238,12.223015144537998,4.685274855714833,20.894792720945684,0.46357615894039733,0.16026490066225166,755,0
grid_mag_orientation_g8_m1_o1_e0_percentile_hamming_r64,grid_mag_orientation,hamming,8,2,percentile,uniform,64,16.0,4096.0,0.04105960264900662,0.12317880794701987,0.33112582781456956,0.7788079470198676,0.04105960264900662,0.12317880794701987,0.7788079470198676,0.33112582781456956,0.33112582781456956,0.10860927152317881,0.2781456953642384,0.10596026490066225,0.28874172185430463,0.7086092715231788,0.9668874172185431,5.82764541147102,2.8436345362426856,9.133796865088769,0.22119205298013245,0.04105960264900662,755,0
grid_mag_orientation_g8_m2_o0_e0_percentile_hamming_r64,grid_mag_orientation,hamming,8,2,percentile,uniform,64,16.0,4096.0,0.026490066225165563,0.07019867549668875,0.2410596026490066,0.6476821192052981,0.026490066225165563,0.07019867549668875,0.6476821192052981,0.2410596026490066,0.2410596026490066,0.07019867549668875,0.21589403973509932,0.06622516556291391,0.18543046357615894,0.5112582781456954,0.8860927152317881,9.261835181973641,3.7606578444894514,13.635568044311304,0.352317880794702,0.10198675496688742,755,0
grid_mag_orientation_g8_m1_o0_e1_percentile_hamming_r64,grid_mag_orientation,hamming,8,2,percentile,uniform,64,16.0,4096.0,0.02913907284768212,0.06887417218543046,0.22119205298013245,0.6834437086092715,0.02913907284768212,0.06887417218543046,0.6834437086092715,0.22119205298013245,0.22119205298013245,0.06225165562913907,0.20132450331125828,0.08211920529801324,0.20397350993377483,0.5748344370860927,0.9165562913907285,8.552958526729272,3.648875546203573,11.056537242872508,0.3165562913907285,0.07019867549668875,755,0
grid_mag_orientation_g8_m1_o2_e0_percentile_hamming_r64,grid_mag_orientation,hamming,8,3,percentile,uniform,64,24.0,2730.6666666666665,0.03576158940397351,0.11655629139072848,0.34701986754966885,0.8092715231788079,0.03576158940397351,0.11655629139072848,0.8092715231788079,0.34701986754966885,0.34701986754966885,0.09668874172185431,0.31390728476821195,0.10066225165562914,0.30596026490066225,0.7125827814569536,0.9748344370860927,5.067128558316432,2.6689741035127854,8.059903690362855,0.19072847682119207,0.03443708609271523,755,0
grid_mag_orientation_g8_m1_o1_e1_percentile_hamming_r64,grid_mag_orientation,hamming,8,3,percentile,uniform,64,24.0,2730.6666666666665,0.04768211920529802,0.13245033112582782,0.3443708609271523,0.8370860927152318,0.04768211920529802,0.13245033112582782,0.8370860927152318,0.3443708609271523,0.3443708609271523,0.11258278145695365,0.29668874172185433,0.1403973509933775,0.3271523178807947,0.7470198675496689,0.990728476821192,3.9998533140262995,2.6017192740147226,7.659888413551024,0.1629139072847682,0.025165562913907286,755,0
grid_mag_orientation_g8_m2_o1_e0_percentile_hamming_r64,grid_mag_orientation,hamming,8,3,percentile,uniform,64,24.0,2730.6666666666665,0.04768211920529802,0.11125827814569536,0.33774834437086093,0.7894039735099337,0.04768211920529802,0.11125827814569536,0.7894039735099337,0.33774834437086093,0.33774834437086093,0.10596026490066225,0.30596026490066225,0.11655629139072848,0.2860927152317881,0.6847682119205298,0.9589403973509933,4.791434113122803,2.79296745392381,9.0880638869245,0.21059602649006623,0.03708609271523179,755,0
grid_mag_orientation_g8_m2_o0_e1_percentile_hamming_r64,grid_mag_orientation,hamming,8,3,percentile,uniform,64,24.0,2730.6666666666665,0.030463576158940398,0.0913907284768212,0.27019867549668874,0.7350993377483444,0.030463576158940398,0.0913907284768212,0.7350993377483444,0.27019867549668874,0.27019867549668874,0.0728476821192053,0.24370860927152319,0.07682119205298013,0.2251655629139073,0.609271523178808,0.9350993377483444,7.033753154637257,3.1772466717231294,10.693784403781674,0.26490066225165565,0.059602649006622516,755,0
grid_mag_orientation_g16_m1_o0_e0_percentile_hamming_r64,grid_mag_orientation,hamming,16,1,percentile,uniform,64,32.0,2048.0,0.12185430463576159,0.3576158940397351,0.695364238410596,0.9602649006622517,0.12185430463576159,0.3576158940397351,0.9602649006622517,0.695364238410596,0.695364238410596,0.2860927152317881,0.6357615894039735,0.17748344370860927,0.5178807947019868,0.9403973509933775,0.9933774834437086,5.440179722229463,1.3043214527156353,4.443408651332486,0.039735099337748346,0.007947019867549669,755,0
grid_mag_orientation_g8_m1_o3_e0_percentile_hamming_r64,grid_mag_orientation,hamming,8,4,percentile,uniform,64,32.0,2048.0,0.05695364238410596,0.1390728476821192,0.3920529801324503,0.8066225165562914,0.05695364238410596,0.1390728476821192,0.8066225165562914,0.3920529801324503,0.3920529801324503,0.13774834437086092,0.34701986754966885,0.12317880794701987,0.3165562913907285,0.7403973509933774,0.9774834437086093,4.4720410619055,2.500963150623091,8.484974439348104,0.19337748344370861,0.03443708609271523,755,0
grid_mag_orientation_g8_m1_o2_e1_percentile_hamming_r64,grid_mag_orientation,hamming,8,4,percentile,uniform,64,32.0,2048.0,0.054304635761589407,0.152317880794702,0.3841059602649007,0.8450331125827815,0.054304635761589407,0.152317880794702,0.8450331125827815,0.3841059602649007,0.3841059602649007,0.1271523178807947,0.32847682119205296,0.14172185430463577,0.352317880794702,0.7629139072847683,0.9894039735099338,4.231778882320194,2.4669245669962474,7.610589669626437,0.15496688741721854,0.02384105960264901,755,0
grid_mag_orientation_g8_m2_o1_e1_percentile_hamming_r64,grid_mag_orientation,hamming,8,4,percentile,uniform,64,32.0,2048.0,0.051655629139072845,0.1205298013245033,0.37880794701986753,0.8278145695364238,0.051655629139072845,0.1205298013245033,0.8278145695364238,0.37880794701986753,0.37880794701986753,0.11258278145695365,0.343046357615894,0.13642384105960265,0.30596026490066225,0.7377483443708609,0.9788079470198675,3.7893037946478505,2.4818777329096022,7.256905954242543,0.17218543046357615,0.01456953642384106,755,0
grid_mag_orientation_g8_m2_o2_e0_percentile_hamming_r64,grid_mag_orientation,hamming,8,4,percentile,uniform,64,32.0,2048.0,0.051655629139072845,0.13642384105960265,0.36688741721854307,0.8278145695364238,0.051655629139072845,0.13642384105960265,0.8278145695364238,0.36688741721854307,0.36688741721854307,0.12450331125827814,0.3205298013245033,0.11125827814569536,0.3165562913907285,0.7443708609271523,0.976158940397351,5.128613984423589,2.4489282952716365,8.431963579349262,0.17218543046357615,0.03443708609271523,755,0
grid_mag_orientation_g8_m4_o0_e0_percentile_hamming_r64,grid_mag_orientation,hamming,8,4,percentile,uniform,64,32.0,2048.0,0.02119205298013245,0.059602649006622516,0.18940397350993377,0.609271523178808,0.02119205298013245,0.059602649006622516,0.609271523178808,0.18940397350993377,0.18940397350993377,0.05562913907284768,0.16026490066225166,0.051655629139072845,0.16026490066225166,0.44503311258278144,0.866225165562914,10.607629223634177,4.08537024047589,17.024290028657614,0.39072847682119205,0.1337748344370861,755,0
