method,family,distance,grid_size,bits,quantization,weighting,search_radius_px,bytes_per_patch,compression_ratio,recall_0_5px,recall_1px,recall_2px,recall_5px,recall_at_1_0_5px,recall_at_1_1px,recall_at_1_5px,top1_matching_success_2px,recall_at_1_2px,integer_recall_1px,integer_recall_2px,recall_at_5_0_5px,recall_at_5_1px,recall_at_5_2px,recall_at_5_5px,rmse_px,median_error_px,p95_error_px,catastrophic_failure_rate_gt5px,catastrophic_failure_rate_gt10px,evaluated_pairs,failed_pairs
rank_transform_g16_b1_median_uniform_hamming_r8,rank_transform,hamming,16,1,median,uniform,8,32.0,2048.0,0.7271523178807947,0.895364238410596,0.9390728476821192,0.9695364238410596,0.7271523178807947,0.895364238410596,0.9695364238410596,0.9390728476821192,0.9390728476821192,0.8423841059602649,0.937748344370861,0.7324503311258278,0.9125827814569536,0.9695364238410596,0.990728476821192,1.5629992055043749,0.2637927470567648,3.0481107110063523,0.030463576158940398,0.003973509933774834,755,0
rank_transform_g16_b1_median_uniform_hamming_r16,rank_transform,hamming,16,1,median,uniform,16,32.0,2048.0,0.7231788079470198,0.8927152317880794,0.9350993377483444,0.9576158940397351,0.7231788079470198,0.8927152317880794,0.9576158940397351,0.9350993377483444,0.9350993377483444,0.8397350993377484,0.9298013245033112,0.7311258278145696,0.9125827814569536,0.9615894039735099,0.9801324503311258,2.66004296606453,0.2641102183284214,4.024797091555389,0.0423841059602649,0.022516556291390728,755,0
rank_transform_g16_b1_median_uniform_hamming_r32,rank_transform,hamming,16,1,median,uniform,32,32.0,2048.0,0.7178807947019867,0.8887417218543047,0.9337748344370861,0.9483443708609272,0.7178807947019867,0.8887417218543047,0.9483443708609272,0.9337748344370861,0.9337748344370861,0.833112582781457,0.9205298013245033,0.7231788079470198,0.9033112582781457,0.9576158940397351,0.9721854304635762,4.788298788312091,0.2665841353317172,5.1204198879239655,0.051655629139072845,0.03576158940397351,755,0
rank_transform_g16_b1_median_uniform_hamming_r64,rank_transform,hamming,16,1,median,uniform,64,32.0,2048.0,0.7165562913907285,0.8821192052980132,0.919205298013245,0.937748344370861,0.7165562913907285,0.8821192052980132,0.937748344370861,0.919205298013245,0.919205298013245,0.8291390728476821,0.9139072847682119,0.7231788079470198,0.8993377483443709,0.952317880794702,0.9655629139072848,11.32675101525548,0.2665841353317172,12.213654902660032,0.06225165562913907,0.051655629139072845,755,0
mag_orientation_g16_b1_percentile_uniform_hamming_r16,mag_orientation,hamming,16,1,percentile,uniform,16,64.0,1024.0,0.3165562913907285,0.6609271523178808,0.9152317880794701,0.9973509933774835,0.3165562913907285,0.6609271523178808,0.9973509933774835,0.9152317880794701,0.9152317880794701,0.5178807947019868,0.8794701986754967,0.3403973509933775,0.7496688741721854,0.9920529801324504,1.0,1.2110679430143008,0.7864574420826163,2.3372083873430345,0.0026490066225165563,0.0,755,0
mag_orientation_g16_b1_percentile_uniform_hamming_r32,mag_orientation,hamming,16,1,percentile,uniform,32,64.0,1024.0,0.31788079470198677,0.6569536423841059,0.9152317880794701,0.9973509933774835,0.31788079470198677,0.6569536423841059,0.9973509933774835,0.9152317880794701,0.9152317880794701,0.5178807947019868,0.8794701986754967,0.3456953642384106,0.7483443708609272,0.9933774834437086,1.0,1.2125341060745916,0.7671128251162457,2.390279928899572,0.0026490066225165563,0.0,755,0
mag_orientation_g16_b1_percentile_uniform_hamming_r64,mag_orientation,hamming,16,1,percentile,uniform,64,64.0,1024.0,0.3152317880794702,0.6556291390728477,0.9139072847682119,0.9973509933774835,0.3152317880794702,0.6556291390728477,0.9973509933774835,0.9139072847682119,0.9139072847682119,0.5178807947019868,0.8794701986754967,0.3390728476821192,0.7483443708609272,0.9933774834437086,1.0,1.213012205842182,0.7872667473754541,2.3118487405022905,0.0026490066225165563,0.0,755,0
mag_orientation_g16_b1_percentile_uniform_hamming_r8,mag_orientation,hamming,16,1,percentile,uniform,8,64.0,1024.0,0.31390728476821195,0.6529801324503312,0.9125827814569536,0.9973509933774835,0.31390728476821195,0.6529801324503312,0.9973509933774835,0.9125827814569536,0.9125827814569536,0.5178807947019868,0.8794701986754967,0.3390728476821192,0.7443708609271523,0.9947019867549669,1.0,1.23154091635888,0.7864574420826163,2.366395899188136,0.0026490066225165563,0.0,755,0
dct_sign_g32_b1_median_uniform_hamming_r8,dct_sign,hamming,32,1,median,uniform,8,128.0,512.0,0.752317880794702,0.9682119205298013,0.9986754966887417,1.0,0.752317880794702,0.9682119205298013,1.0,0.9986754966887417,0.9986754966887417,0.9019867549668874,0.9947019867549669,0.7549668874172185,0.9735099337748344,1.0,1.0,0.4704352931789362,0.2903786972480973,0.888489384512958,0.0,0.0,755,0
dct_sign_g32_b1_median_uniform_hamming_r16,dct_sign,hamming,32,1,median,uniform,16,128.0,512.0,0.7496688741721854,0.9668874172185431,0.9986754966887417,1.0,0.7496688741721854,0.9668874172185431,1.0,0.9986754966887417,0.9986754966887417,0.9019867549668874,0.9947019867549669,0.752317880794702,0.9721854304635762,1.0,1.0,0.4724276750618819,0.290555685247488,0.8972392743941525,0.0,0.0,755,0
dct_sign_g32_b1_median_uniform_hamming_r32,dct_sign,hamming,32,1,median,uniform,32,128.0,512.0,0.752317880794702,0.9695364238410596,0.9986754966887417,1.0,0.752317880794702,0.9695364238410596,1.0,0.9986754966887417,0.9986754966887417,0.9019867549668874,0.9947019867549669,0.7536423841059603,0.9735099337748344,1.0,1.0,0.4654765485704745,0.290555685247488,0.8770685453325759,0.0,0.0,755,0
dct_sign_g32_b1_median_uniform_hamming_r64,dct_sign,hamming,32,1,median,uniform,64,128.0,512.0,0.752317880794702,0.9682119205298013,0.9986754966887417,1.0,0.752317880794702,0.9682119205298013,1.0,0.9986754966887417,0.9986754966887417,0.9019867549668874,0.9947019867549669,0.7549668874172185,0.9735099337748344,1.0,1.0,0.47137437445863634,0.2901700194108166,0.8831740099266909,0.0,0.0,755,0
sobel_mag_g32_b2_percentile_uniform_hamming_r8,sobel_mag,hamming,32,2,percentile,uniform,8,256.0,256.0,0.7231788079470198,0.9245033112582781,0.990728476821192,1.0,0.7231788079470198,0.9245033112582781,1.0,0.990728476821192,0.990728476821192,0.8701986754966887,0.9880794701986755,0.7231788079470198,0.9403973509933775,1.0,1.0,0.5511115470259371,0.2743726195923462,1.139885768516691,0.0,0.0,755,0
sobel_mag_g32_b2_percentile_uniform_hamming_r16,sobel_mag,hamming,32,2,percentile,uniform,16,256.0,256.0,0.7205298013245033,0.9218543046357616,0.990728476821192,1.0,0.7205298013245033,0.9218543046357616,1.0,0.990728476821192,0.990728476821192,0.8701986754966887,0.9880794701986755,0.7205298013245033,0.937748344370861,1.0,1.0,0.5518674267893988,0.2743726195923462,1.1528162763735428,0.0,0.0,755,0
sobel_mag_g32_b2_percentile_uniform_hamming_r32,sobel_mag,hamming,32,2,percentile,uniform,32,256.0,256.0,0.7205298013245033,0.9231788079470199,0.990728476821192,1.0,0.7205298013245033,0.9231788079470199,1.0,0.990728476821192,0.990728476821192,0.8701986754966887,0.9880794701986755,0.7205298013245033,0.9390728476821192,1.0,1.0,0.555417240669922,0.2743726195923462,1.1718708933832536,0.0,0.0,755,0
sobel_mag_g32_b2_percentile_uniform_hamming_r64,sobel_mag,hamming,32,2,percentile,uniform,64,256.0,256.0,0.7218543046357616,0.9245033112582781,0.990728476821192,1.0,0.7218543046357616,0.9245033112582781,1.0,0.990728476821192,0.990728476821192,0.8701986754966887,0.9880794701986755,0.7218543046357616,0.9417218543046357,1.0,1.0,0.5539640449074382,0.2743726195923462,1.1718708933832536,0.0,0.0,755,0
