method,soft_distance_group,gcp_count,evaluated_count,median_distance_to_soft_m,recall_2px,rmse_px,median_error_px,p95_error_px
dct_sign_g32_b1_median_uniform_hamming_r64,Group A (>100m),55,55,116.619037896906,1.0,0.4530844848315247,0.2771749418839656,0.7821123475598928
dct_sign_g32_b1_median_uniform_hamming_r64,Group B (30-100m),377,377,50.0,1.0,0.39942611496678787,0.2571553861487828,0.7880836567015311
dct_sign_g32_b1_median_uniform_hamming_r64,Group C (<30m),323,323,14.142135623730953,0.9969040247678018,0.5460768438657878,0.3301611327473785,1.0071196843382042
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,Group A (>100m),55,55,116.619037896906,1.0,0.44660018027164455,0.2158991723275222,1.009718998862678
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,Group B (30-100m),377,377,50.0,1.0,0.27816876860963813,0.1758390732945965,0.5544451459798612
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,Group C (<30m),323,323,14.142135623730953,1.0,0.3737208353117506,0.2099029336800186,0.7142999185209338
rank_transform_g16_b1_median_uniform_hamming_r64,Group A (>100m),55,55,116.619037896906,0.8727272727272727,15.096419221646684,0.2539375229498619,29.78367784741351
rank_transform_g16_b1_median_uniform_hamming_r64,Group B (30-100m),377,377,50.0,0.9575596816976127,8.428614170893942,0.2514158741140724,1.4009146542381565
rank_transform_g16_b1_median_uniform_hamming_r64,Group C (<30m),323,323,14.142135623730953,0.8823529411764706,13.347659022064189,0.3084721239424719,34.66150004576815
raw_ncc,Group A (>100m),55,55,116.619037896906,1.0,0.13391608690294768,0.050878609865182,0.1306359547170251
raw_ncc,Group B (30-100m),377,377,50.0,1.0,0.06845429416861779,0.0577024053200654,0.10132896552387503
raw_ncc,Group C (<30m),323,323,14.142135623730953,1.0,0.07902431427013701,0.0604668584823208,0.112773876119122
sobel_orientation_g16_b2_uniform_uniform_l1_r64,Group A (>100m),55,55,116.619037896906,0.9090909090909091,1.366074163679978,0.6254507077798707,2.1814701522719524
sobel_orientation_g16_b2_uniform_uniform_l1_r64,Group B (30-100m),377,377,50.0,0.9389920424403183,1.0783197522324777,0.724905949259437,2.0576373131454333
sobel_orientation_g16_b2_uniform_uniform_l1_r64,Group C (<30m),323,323,14.142135623730953,0.9040247678018576,1.4980441720124862,0.7935626358900186,2.5007864174054757
