method,soft_ratio_bin,gcp_count,evaluated_count,median_soft_ratio,recall_2px,rmse_px,median_error_px,p95_error_px
dct_sign_g32_b1_median_uniform_hamming_r64,0-10%,4,4,0.07729339599609375,1.0,0.27378010856016416,0.1397986727501932,0.4557648838817343
dct_sign_g32_b1_median_uniform_hamming_r64,10-25%,108,108,0.19242095947265625,1.0,0.3417686466180858,0.2365637917313495,0.6472878700191728
dct_sign_g32_b1_median_uniform_hamming_r64,25-50%,292,292,0.36128997802734375,1.0,0.3331448665758872,0.23113054544812114,0.6413440386924875
dct_sign_g32_b1_median_uniform_hamming_r64,50-75%,181,181,0.59429931640625,1.0,0.46186967415618635,0.3290858251688432,0.8605018812830125
dct_sign_g32_b1_median_uniform_hamming_r64,>=75%,170,170,0.8817062377929688,0.9941176470588236,0.7021904080724535,0.47603170472099915,1.479611403060412
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,0-10%,4,4,0.07729339599609375,1.0,0.197635544762098,0.20797404162650146,0.2334643461621824
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,10-25%,108,108,0.19242095947265625,1.0,0.2542226375588784,0.1569945440045435,0.4501698679097647
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,25-50%,292,292,0.36128997802734375,1.0,0.24324918781132768,0.16546017264210575,0.46942944786377583
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,50-75%,181,181,0.59429931640625,1.0,0.3519584072173951,0.2068392988626044,0.6100353598661116
grid_mag_orientation_g32_m1_o1_e0_percentile_hamming_r64,>=75%,170,170,0.8817062377929688,1.0,0.4753860632075673,0.2861766722213457,1.0093023885542711
rank_transform_g16_b1_median_uniform_hamming_r64,0-10%,4,4,0.07729339599609375,1.0,0.1672094804427354,0.17269919768330227,0.20545138785119654
rank_transform_g16_b1_median_uniform_hamming_r64,10-25%,108,108,0.19242095947265625,0.9907407407407407,6.504692868212862,0.18678358970694503,0.6257974779747806
rank_transform_g16_b1_median_uniform_hamming_r64,25-50%,292,292,0.36128997802734375,0.9965753424657534,0.46747179238448733,0.22097520140507376,0.7374962961254617
rank_transform_g16_b1_median_uniform_hamming_r64,50-75%,181,181,0.59429931640625,0.8895027624309392,10.022020637171442,0.2972600021199305,12.684394688375756
rank_transform_g16_b1_median_uniform_hamming_r64,>=75%,170,170,0.8817062377929688,0.7705882352941177,20.87069810037965,0.6099279210416846,63.63460699301362
raw_ncc,0-10%,4,4,0.07729339599609375,1.0,0.05118314061730296,0.052242644762461196,0.057343781235790085
raw_ncc,10-25%,108,108,0.19242095947265625,1.0,0.06606755496434126,0.0534000486923085,0.1051903936715565
raw_ncc,25-50%,292,292,0.36128997802734375,1.0,0.06211606029085298,0.05630969382506505,0.0964204879862752
raw_ncc,50-75%,181,181,0.59429931640625,1.0,0.07545925052916057,0.056909384385812,0.0994429371611091
raw_ncc,>=75%,170,170,0.8817062377929688,1.0,0.11195769809648319,0.06844700773343995,0.2003920968492532
sobel_orientation_g16_b2_uniform_uniform_l1_r64,0-10%,4,4,0.07729339599609375,1.0,0.4874310555635895,0.24511050914572802,0.7976544150305288
sobel_orientation_g16_b2_uniform_uniform_l1_r64,10-25%,108,108,0.19242095947265625,0.9814814814814815,0.7918431599178659,0.5651557226229469,1.4928151697239929
sobel_orientation_g16_b2_uniform_uniform_l1_r64,25-50%,292,292,0.36128997802734375,0.9554794520547946,0.9378039434421216,0.623333604128196,1.9664160606039343
sobel_orientation_g16_b2_uniform_uniform_l1_r64,50-75%,181,181,0.59429931640625,0.9337016574585635,1.170251509203253,0.8153602664662906,2.147974560343965
sobel_orientation_g16_b2_uniform_uniform_l1_r64,>=75%,170,170,0.8817062377929688,0.8117647058823529,2.018310054389553,1.0194775632416837,3.3479961472131454
