method,family,distance,grid_size,bits,quantization,weighting,search_radius_px,bytes_per_patch,compression_ratio,recall_0_5px,recall_1px,recall_2px,recall_5px,recall_at_1_0_5px,recall_at_1_1px,recall_at_1_5px,top1_matching_success_2px,recall_at_1_2px,integer_recall_1px,integer_recall_2px,recall_at_5_0_5px,recall_at_5_1px,recall_at_5_2px,recall_at_5_5px,rmse_px,median_error_px,p95_error_px,catastrophic_failure_rate_gt5px,catastrophic_failure_rate_gt10px,evaluated_pairs,failed_pairs
haar_sign_g16_b1_median_uniform_hamming_r64,haar_sign,hamming,16,1,median,uniform,64,24.0,2730.6666666666665,0.176158940397351,0.42251655629139073,0.7827814569536424,0.9615894039735099,0.176158940397351,0.42251655629139073,0.9615894039735099,0.7827814569536424,0.7827814569536424,0.33774834437086093,0.7125827814569536,0.21986754966887417,0.56158940397351,0.9470198675496688,0.9867549668874173,6.75692063569588,1.1474388998655345,4.544046093820603,0.038410596026490065,0.019867549668874173,755,0
rank_transform_g16_b1_median_uniform_hamming_r64,rank_transform,hamming,16,1,median,uniform,64,32.0,2048.0,0.7165562913907285,0.8821192052980132,0.919205298013245,0.937748344370861,0.7165562913907285,0.8821192052980132,0.937748344370861,0.919205298013245,0.919205298013245,0.8291390728476821,0.9139072847682119,0.7231788079470198,0.8993377483443709,0.952317880794702,0.9655629139072848,11.32675101525548,0.2665841353317172,12.213654902660032,0.06225165562913907,0.051655629139072845,755,0
sobel_orientation_g16_b1_uniform_uniform_hamming_r64,sobel_orientation,hamming,16,1,uniform,uniform,64,32.0,2048.0,0.2556291390728477,0.5960264900662252,0.8794701986754967,0.9894039735099338,0.2556291390728477,0.5960264900662252,0.9894039735099338,0.8794701986754967,0.8794701986754967,0.47019867549668876,0.8357615894039735,0.28874172185430463,0.6927152317880795,0.9867549668874173,1.0,1.4656583167490076,0.8498708786669724,2.818460132215311,0.010596026490066225,0.0,755,0
scharr_mag_g16_b1_median_uniform_hamming_r64,scharr_mag,hamming,16,1,median,uniform,64,32.0,2048.0,0.15364238410596026,0.3827814569536424,0.7615894039735099,0.9788079470198675,0.15364238410596026,0.3827814569536424,0.9788079470198675,0.7615894039735099,0.7615894039735099,0.31390728476821195,0.6781456953642384,0.1880794701986755,0.5443708609271524,0.9496688741721855,0.9894039735099338,4.5065577543799815,1.2175770025934294,3.6891393109480117,0.02119205298013245,0.006622516556291391,755,0
dct_sign_g16_b1_median_uniform_hamming_r64,dct_sign,hamming,16,1,median,uniform,64,32.0,2048.0,0.13509933774834437,0.3920529801324503,0.7615894039735099,0.9841059602649007,0.13509933774834437,0.3920529801324503,0.9841059602649007,0.7615894039735099,0.7615894039735099,0.31390728476821195,0.6913907284768211,0.1947019867549669,0.5695364238410596,0.9682119205298013,0.9947019867549669,4.168974550002646,1.2042966376547657,3.461455100320833,0.015894039735099338,0.006622516556291391,755,0
sobel_mag_g16_b1_median_uniform_hamming_r64,sobel_mag,hamming,16,1,median,uniform,64,32.0,2048.0,0.12847682119205298,0.3695364238410596,0.743046357615894,0.9748344370860927,0.12847682119205298,0.3695364238410596,0.9748344370860927,0.743046357615894,0.743046357615894,0.2768211920529801,0.6688741721854304,0.18410596026490067,0.5337748344370861,0.9417218543046357,0.9894039735099338,4.851379093360986,1.2426221658413432,3.775312611994392,0.025165562913907286,0.011920529801324504,755,0
median_threshold_g16_b1_median_uniform_hamming_r64,median_threshold,hamming,16,1,median,uniform,64,32.0,2048.0,0.09801324503311258,0.3337748344370861,0.6794701986754967,0.9231788079470199,0.09801324503311258,0.3337748344370861,0.9231788079470199,0.6794701986754967,0.6794701986754967,0.24370860927152319,0.5960264900662252,0.1390728476821192,0.49271523178807947,0.895364238410596,0.9721854304635762,9.172315345848391,1.439383274663952,7.350318334400025,0.07682119205298013,0.03708609271523179,755,0
census_sparse_g8_b1_median_uniform_hamming_r64,census_sparse,hamming,8,1,median,uniform,64,32.0,2048.0,0.10993377483443709,0.2768211920529801,0.5509933774834437,0.8119205298013245,0.10993377483443709,0.2768211920529801,0.8119205298013245,0.5509933774834437,0.5509933774834437,0.23576158940397351,0.5059602649006623,0.16556291390728478,0.4370860927152318,0.8105960264900662,0.9298013245033112,12.353147994355197,1.7860675549303806,18.328530946472327,0.1880794701986755,0.09006622516556291,755,0
edge_occupancy_g16_b1_median_uniform_hamming_r64,edge_occupancy,hamming,16,1,median,uniform,64,32.0,2048.0,0.11920529801324503,0.2675496688741722,0.5258278145695364,0.9072847682119205,0.11920529801324503,0.2675496688741722,0.9072847682119205,0.5258278145695364,0.5258278145695364,0.22913907284768212,0.4900662251655629,0.2119205298013245,0.47152317880794703,0.8622516556291391,0.9735099337748344,6.404580961362048,1.918387273960756,6.410343156260371,0.09271523178807947,0.025165562913907286,755,0
mag_orientation_g16_b1_percentile_uniform_hamming_r64,mag_orientation,hamming,16,1,percentile,uniform,64,64.0,1024.0,0.3152317880794702,0.6556291390728477,0.9139072847682119,0.9973509933774835,0.3152317880794702,0.6556291390728477,0.9973509933774835,0.9139072847682119,0.9139072847682119,0.5178807947019868,0.8794701986754967,0.3390728476821192,0.7483443708609272,0.9933774834437086,1.0,1.213012205842182,0.7872667473754541,2.3118487405022905,0.0026490066225165563,0.0,755,0
sobel_orientation_g16_b2_uniform_uniform_hamming_r64,sobel_orientation,hamming,16,2,uniform,uniform,64,64.0,1024.0,0.29403973509933773,0.6556291390728477,0.9006622516556292,0.9986754966887417,0.29403973509933773,0.6556291390728477,0.9986754966887417,0.9006622516556292,0.9006622516556292,0.5350993377483444,0.8701986754966887,0.3258278145695364,0.7549668874172185,0.9894039735099338,0.9986754966887417,2.6133870572419657,0.7794873187710124,2.656302799841939,0.0013245033112582781,0.0013245033112582781,755,0
sobel_mag_g16_b2_percentile_uniform_hamming_r64,sobel_mag,hamming,16,2,percentile,uniform,64,64.0,1024.0,0.16821192052980133,0.45827814569536424,0.8026490066225166,0.9682119205298013,0.16821192052980133,0.45827814569536424,0.9682119205298013,0.8026490066225166,0.8026490066225166,0.37350993377483444,0.7549668874172185,0.20132450331125828,0.5788079470198676,0.9456953642384106,0.9920529801324504,5.108355548843642,1.063727592890466,3.8236460709230036,0.031788079470198675,0.009271523178807948,755,0
