method,method_label_cn,split,bias_model,requested_gcp_count,used_gcp_count,icp_count,selection,rmse_x_px,rmse_y_px,rmse_2d_px,median_error_px,p90_error_px,p95_error_px,rmse_2d_m,median_error_m,ce90_m,p95_error_m
raw_gray_ncc,原始灰度 NCC,0,translation,5,5,24,spatial_farthest_with_margin_tiebreak,4.189496463814271,3.844696774036604,5.686261856844068,5.782756525725,6.900661620681665,7.039823193036683,3.674991940020784,3.7373379056478706,4.459888135972533,4.5498226952982606
raw_gray_ncc,原始灰度 NCC,0,translation,10,10,24,spatial_farthest_with_margin_tiebreak,5.158441020267424,4.49559233036059,6.8425042316665445,7.0223568775460485,8.090975445560513,8.21482942345964,4.422263242436591,4.538479259342708,5.229185986629918,5.309226712742729
raw_gray_ncc,原始灰度 NCC,0,affine,5,5,24,spatial_farthest_with_margin_tiebreak,2.343328179516898,2.9650999157131936,3.779286237780934,3.4158729387466,5.242290287005984,6.0130653108470735,2.4425340348303526,2.207656222677101,3.388114152529058,3.886234933513659
raw_gray_ncc,原始灰度 NCC,0,affine,10,10,24,spatial_farthest_with_margin_tiebreak,2.3442247020887095,2.6969489620838716,3.5733630039457465,3.3575477641555285,4.745655095751896,5.402713297665999,2.309444842040918,2.1699535639051373,3.067088884091794,3.491757301920456
raw_gray_ncc,原始灰度 NCC,0,affine,20,20,24,spatial_farthest_with_margin_tiebreak,2.257787729151214,2.89763253639521,3.6734016586648854,3.4242399025150374,4.822699482536673,5.195298095626497,2.37409642769142,2.2130645080380957,3.116884885043688,3.357728140322997
raw_gray_ncc,原始灰度 NCC,1,translation,5,5,24,spatial_farthest_with_margin_tiebreak,8.224383386016205,6.701985496735859,10.609292703975942,10.605188973211014,12.53115123415485,12.660774559081078,6.856711401488137,6.854008865017949,8.098757768667852,8.182504742186715
raw_gray_ncc,原始灰度 NCC,1,translation,10,10,24,spatial_farthest_with_margin_tiebreak,9.168903030242678,6.007897245103068,10.961916442197067,11.020840592216192,12.892070527419001,13.006559475862511,7.084609794880539,7.12263961636039,8.33201633621018,8.405981331876397
raw_gray_ncc,原始灰度 NCC,1,translation,20,20,24,spatial_farthest_with_margin_tiebreak,8.538123075990207,6.065569625062355,10.47333187372746,10.496401271989097,12.389465267732104,12.509594169924073,6.768840951129896,6.783700653537374,8.00718756054749,8.084798693830543
raw_gray_ncc,原始灰度 NCC,1,affine,5,5,24,spatial_farthest_with_margin_tiebreak,7.151091591498789,6.602979923454373,9.733316742999078,8.880492011942398,14.046193692038564,14.934582805294284,6.29060423795944,5.739412569176318,9.0779087184399,9.652222005032183
raw_gray_ncc,原始灰度 NCC,1,affine,10,10,24,spatial_farthest_with_margin_tiebreak,7.724101835522764,5.816698924423555,9.669319290566232,8.842954294046748,14.019918579973474,14.766011910226466,6.249243405300714,5.715140978242199,9.06093364449002,9.54327431317923
raw_gray_ncc,原始灰度 NCC,1,affine,20,20,24,spatial_farthest_with_margin_tiebreak,8.59553365118607,5.550602239790108,10.23192963096576,9.595322561732512,14.32443665585429,15.792484482889064,6.612861771964112,6.20139121524158,9.257849439471633,10.206704260084878
