method,method_label_cn,ransac_model,attempted_gcp_count,ransac_inlier_count,ransac_inlier_ratio,geometrically_verified_reuse_rate,inlier_reprojection_rmse_px,parameters,ransac_used_for_single_point_ranking
raw_gray_ncc,原始灰度 NCC,translation,124,27,0.21774193548387097,0.21774193548387097,1.6920838247031793,"{""kind"":""translation"",""coefficients"":[-15.765236372898167,-3.869299571787813],""centre"":[10041.08462261723,10407.265154515297],""scale"":[15540.494999322784,14336.889124427942]}",False
raw_gray_ncc,原始灰度 NCC,affine,124,33,0.2661290322580645,0.2661290322580645,1.5058762434410917,"{""kind"":""affine"",""coefficients"":[[-15.89164607964686,-2.9751498172818387],[17.556709703938957,5.449554367797805],[-0.7096747886137122,2.231377778815927]],""centre"":[10041.08462261723,10407.265154515297],""scale"":[15540.494999322784,14336.889124427942]}",False
raw_gray_ncc,原始灰度 NCC,homography,124,35,0.28225806451612906,0.28225806451612906,1.6467702428613478,homography,False
raw_scharr_ncc,原始 Scharr NCC,translation,124,118,0.9516129032258065,0.9516129032258065,1.1063931969438154,"{""kind"":""translation"",""coefficients"":[-7.609024556185129,1.8438532831873584],""centre"":[10041.08462261723,10407.265154515297],""scale"":[15540.494999322784,14336.889124427942]}",False
raw_scharr_ncc,原始 Scharr NCC,affine,124,118,0.9516129032258065,0.9516129032258065,1.0877888015018922,"{""kind"":""affine"",""coefficients"":[[-7.607039997327969,1.8400290590357746],[0.16921193450878663,0.6584333850932094],[0.34556062395601994,-0.5614979182181694]],""centre"":[10041.08462261723,10407.265154515297],""scale"":[15540.494999322784,14336.889124427942]}",False
raw_scharr_ncc,原始 Scharr NCC,homography,124,118,0.9516129032258065,0.9516129032258065,1.08813330703917,homography,False
compact_64B_orientation_l1,64 B 方向空间码 / L1,translation,124,17,0.13709677419354838,0.13709677419354838,1.9180343379336304,"{""kind"":""translation"",""coefficients"":[-8.70626871248574,-0.4240093606542145],""centre"":[10041.08462261723,10407.265154515297],""scale"":[15540.494999322784,14336.889124427942]}",False
compact_64B_orientation_l1,64 B 方向空间码 / L1,affine,124,26,0.20967741935483872,0.20967741935483872,1.7770837407166156,"{""kind"":""affine"",""coefficients"":[[-7.761627951167322,0.9046824353980358],[-2.5831533391439887,-17.930636708930766],[2.216405065354067,7.987160903866123]],""centre"":[10041.08462261723,10407.265154515297],""scale"":[15540.494999322784,14336.889124427942]}",False
compact_64B_orientation_l1,64 B 方向空间码 / L1,homography,124,29,0.23387096774193547,0.23387096774193547,1.8965506642136827,homography,False
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,translation,124,31,0.25,0.25,1.8838615012930404,"{""kind"":""translation"",""coefficients"":[-16.273252108509343,-4.326928555406258],""centre"":[10041.08462261723,10407.265154515297],""scale"":[15540.494999322784,14336.889124427942]}",False
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,affine,124,31,0.25,0.25,1.7469670903623626,"{""kind"":""affine"",""coefficients"":[[-16.295413188558452,-4.401296300870463],[2.0175332329008526,-1.6742530668892472],[3.384208813152311,1.575342447609468]],""centre"":[10041.08462261723,10407.265154515297],""scale"":[15540.494999322784,14336.889124427942]}",False
compact_128B_dct_sign_hamming,128 B DCT 符号码 / Hamming,homography,124,35,0.28225806451612906,0.28225806451612906,1.8662624044574605,homography,False
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,translation,124,67,0.5403225806451613,0.5403225806451613,1.8760543052885006,"{""kind"":""translation"",""coefficients"":[-7.816662299363836,2.060660468085159],""centre"":[10041.08462261723,10407.265154515297],""scale"":[15540.494999322784,14336.889124427942]}",False
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,affine,124,68,0.5483870967741935,0.5483870967741935,1.915175631864058,"{""kind"":""affine"",""coefficients"":[[-8.374948954293691,2.1207538716036556],[-0.08815524851544326,-0.27797073115574883],[-0.10428289730868874,2.6847903369011603]],""centre"":[10041.08462261723,10407.265154515297],""scale"":[15540.494999322784,14336.889124427942]}",False
compact_256B_mag_orientation_hamming,256 B 幅值方向空间码 / Hamming,homography,124,58,0.46774193548387094,0.46774193548387094,1.8814682261779052,homography,False
webp_q30_ncc,WebP Q30 + Scharr NCC,translation,124,111,0.8951612903225806,0.8951612903225806,1.198544045493563,"{""kind"":""translation"",""coefficients"":[-7.570027988989183,1.849091249566141],""centre"":[10041.08462261723,10407.265154515297],""scale"":[15540.494999322784,14336.889124427942]}",False
