pair_id,method,reference_image,target_image,gt_x,gt_y,pred_x,pred_y,top1_error_px,top5_best_error_px,score,bytes_per_patch,compression_ratio,status,grid_size,mag_bits,orientation_bits,edge_bits,quantization,distance,config_id,meta_keypoints,meta_good_matches,meta_inliers,meta_grid_size,meta_codec,meta_quality
synthetic_00,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_00.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_00.png,138.75,137.1,138.0,137.4,0.8077747210701799,0.471699056602835,0.0,8,8192.0,ok,8.0,1.0,0.0,0.0,percentile,hamming,cfg_000,,,,,,
synthetic_01,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_01.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_01.png,140.1,138.8,142.0,139.33333333333334,1.973434682082096,0.6708203932499369,2.0,8,8192.0,ok,8.0,1.0,0.0,0.0,percentile,hamming,cfg_000,,,,,,
synthetic_02,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_02.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_02.png,136.3,139.6,136.25,138.8,0.8015609770940536,0.8015609770940536,0.0,8,8192.0,ok,8.0,1.0,0.0,0.0,percentile,hamming,cfg_000,,,,,,
synthetic_03,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_03.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_03.png,137.9,136.0,137.75,133.66666666666666,2.3381497908484157,0.6403124237432885,1.0,8,8192.0,ok,8.0,1.0,0.0,0.0,percentile,hamming,cfg_000,,,,,,
synthetic_00,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_00.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_00.png,138.75,137.1,138.5,137.28571428571428,0.3114318479513077,0.3114318479513077,2.0,16,4096.0,ok,8.0,1.0,0.0,1.0,percentile,hamming,cfg_001,,,,,,
synthetic_01,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_01.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_01.png,140.1,138.8,141.5,139.33333333333334,1.4981470036162867,1.4317821063276432,4.0,16,4096.0,ok,8.0,1.0,0.0,1.0,percentile,hamming,cfg_001,,,,,,
synthetic_02,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_02.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_02.png,136.3,139.6,136.16666666666666,138.8,0.8110350040397493,0.22360679774996628,2.0,16,4096.0,ok,8.0,1.0,0.0,1.0,percentile,hamming,cfg_001,,,,,,
synthetic_03,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_03.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_03.png,137.9,136.0,139.75,136.5,1.9163767896736745,0.6403124237432885,4.0,16,4096.0,ok,8.0,1.0,0.0,1.0,percentile,hamming,cfg_001,,,,,,
synthetic_00,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_00.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_00.png,138.75,137.1,138.33333333333334,137.14285714285714,0.4188649493631341,0.4188649493631341,3.0,16,4096.0,ok,8.0,1.0,1.0,0.0,percentile,hamming,cfg_002,,,,,,
synthetic_01,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_01.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_01.png,140.1,138.8,141.25,138.6,1.1672617529928837,0.8062257748298479,5.0,16,4096.0,ok,8.0,1.0,1.0,0.0,percentile,hamming,cfg_002,,,,,,
synthetic_02,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_02.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_02.png,136.3,139.6,136.16666666666666,138.85714285714286,0.7547281049965255,0.22360679774996628,0.0,16,4096.0,ok,8.0,1.0,1.0,0.0,percentile,hamming,cfg_002,,,,,,
synthetic_03,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_03.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_03.png,137.9,136.0,137.71428571428572,133.83333333333334,2.1746112848881225,0.6403124237432885,1.0,16,4096.0,ok,8.0,1.0,1.0,0.0,percentile,hamming,cfg_002,,,,,,
synthetic_00,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_00.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_00.png,138.75,137.1,138.5,137.11111111111111,0.2502467917678939,0.2502467917678939,5.0,24,2730.6666666666665,ok,8.0,1.0,1.0,1.0,percentile,hamming,cfg_003,,,,,,
synthetic_01,spatial_percentile_hamming,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\reference\reference_01.png,N:\OUTPUT\gcp_compact_spatial_representation_OUTPUT\synthetic_smoke\synthetic_dataset\target\target_01.png,140.1,138.8,141.33333333333334,138.77777777777777,1.2335335172874886,0.8062257748298479,7.0,24,2730.6666666666665,ok,8.0,1.0,1.0,1.0,percentile,hamming,cfg_003,,,,,,
