method,method_label_cn,target_year,search_radius_px,matched_gcp_count,matched_only_rmse_px,matched_only_median_error_px,matched_only_p95_error_px,localization_success_0_5px,localization_success_1px,localization_success_2px,localization_success_5px
raw_ncc,原始灰度 NCC,2025,8,39,0.06802846229729063,0.04797166288988375,0.09567111529053586,1.0,1.0,1.0,1.0
raw_ncc,原始灰度 NCC,2025,16,38,0.06790268340261926,0.04805944291509421,0.09611661887297175,1.0,1.0,1.0,1.0
raw_ncc,原始灰度 NCC,2025,32,35,0.059723628377750415,0.04816475825803973,0.09306330586745042,1.0,1.0,1.0,1.0
webp_q30_ncc,WebP Q30 + NCC,2025,8,39,0.07466508144658791,0.05293596300092502,0.10414137890686484,1.0,1.0,1.0,1.0
webp_q30_ncc,WebP Q30 + NCC,2025,16,38,0.07474344407419019,0.05341083439575772,0.1055097812551215,1.0,1.0,1.0,1.0
webp_q30_ncc,WebP Q30 + NCC,2025,32,35,0.06665494791863522,0.05286151844063964,0.09819773881037604,1.0,1.0,1.0,1.0
jpeg2000_100_ncc,JPEG2000 100 + NCC,2025,8,39,0.07420833262009309,0.051810841340267456,0.10912270089943595,1.0,1.0,1.0,1.0
jpeg2000_100_ncc,JPEG2000 100 + NCC,2025,16,38,0.07417807713588029,0.052402712702647916,0.11159898449080295,1.0,1.0,1.0,1.0
jpeg2000_100_ncc,JPEG2000 100 + NCC,2025,32,35,0.06627813830465082,0.05308751809698234,0.0997155754376465,1.0,1.0,1.0,1.0
compact_32B_rank_hamming,32 B Rank/Hamming,2025,8,35,2.060468470192829,0.4409305980398811,4.297123333674266,0.5714285714285714,0.7714285714285715,0.9142857142857143,0.9428571428571428
compact_32B_rank_hamming,32 B Rank/Hamming,2025,16,35,4.344697055530578,0.4223233477265553,10.46948217645492,0.6,0.8,0.8571428571428571,0.9142857142857143
compact_32B_rank_hamming,32 B Rank/Hamming,2025,32,32,2.0255888190045037,0.4327503119974579,1.9139908595086155,0.59375,0.84375,0.9375,0.96875
compact_64B_orientation_l1,64 B 方向/L1,2025,8,40,1.576157745584418,0.9060325947216826,3.524175894469347,0.25,0.625,0.825,1.0
compact_64B_orientation_l1,64 B 方向/L1,2025,16,39,1.494482033967608,0.8755419001984326,2.5831629104314415,0.3076923076923077,0.6666666666666666,0.8717948717948718,1.0
compact_64B_orientation_l1,64 B 方向/L1,2025,32,36,1.377520262241654,0.8661451931058196,2.173807055764849,0.25,0.6666666666666666,0.8611111111111112,1.0
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,2025,8,40,0.49707477103531456,0.3697359368308675,0.9082739223667368,0.65,0.975,1.0,1.0
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,2025,16,39,0.4988875284056357,0.3930791971113233,0.9501266468464132,0.717948717948718,0.9743589743589743,1.0,1.0
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,2025,32,36,0.44768322624442725,0.3260396637715914,0.8506417970990892,0.75,0.9722222222222222,1.0,1.0
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,2025,8,40,0.4010837676740949,0.2580614570837622,0.8066598221818678,0.8,1.0,1.0,1.0
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,2025,16,39,0.37618629496366524,0.2570648296482925,0.7569214560356298,0.8461538461538461,0.9743589743589743,1.0,1.0
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,2025,32,36,0.39892386510944555,0.24316357745580275,0.9263867096424391,0.8611111111111112,1.0,1.0,1.0
median_binary_32B_hamming,32 B 中值二值基线,2025,8,33,3.3122178021385804,2.1268099589971214,7.391652002691016,0.030303030303030304,0.09090909090909091,0.48484848484848486,0.8787878787878788
median_binary_32B_hamming,32 B 中值二值基线,2025,16,33,4.0023926834004,1.858524267273765,7.797319825275612,0.030303030303030304,0.09090909090909091,0.5151515151515151,0.8787878787878788
median_binary_32B_hamming,32 B 中值二值基线,2025,32,31,2.89507296580906,1.9180150422765874,4.835912939967906,0.06451612903225806,0.06451612903225806,0.5161290322580645,0.9354838709677419
raw_ncc,原始灰度 NCC,2026,8,34,0.06155044203037872,0.05407705565807146,0.1018037864282115,1.0,1.0,1.0,1.0
raw_ncc,原始灰度 NCC,2026,16,32,0.062409341930514235,0.05614700479292529,0.1022051702681673,1.0,1.0,1.0,1.0
raw_ncc,原始灰度 NCC,2026,32,29,0.06492688969771276,0.059523741393767586,0.10296753084736449,1.0,1.0,1.0,1.0
webp_q30_ncc,WebP Q30 + NCC,2026,8,34,0.06800266504352029,0.05990178254683181,0.10680058265135298,1.0,1.0,1.0,1.0
webp_q30_ncc,WebP Q30 + NCC,2026,16,32,0.0688390741543079,0.06132060408037662,0.10759127877195125,1.0,1.0,1.0,1.0
webp_q30_ncc,WebP Q30 + NCC,2026,32,29,0.07162483986573372,0.0682332611312887,0.10890758593205097,1.0,1.0,1.0,1.0
jpeg2000_100_ncc,JPEG2000 100 + NCC,2026,8,34,0.0637823271630493,0.056537799136389455,0.10197002580048849,1.0,1.0,1.0,1.0
jpeg2000_100_ncc,JPEG2000 100 + NCC,2026,16,32,0.06468179859989165,0.056870367906060135,0.10226617399647722,1.0,1.0,1.0,1.0
jpeg2000_100_ncc,JPEG2000 100 + NCC,2026,32,29,0.06734813721934123,0.060188934915416784,0.10272410254062621,1.0,1.0,1.0,1.0
compact_32B_rank_hamming,32 B Rank/Hamming,2026,8,27,2.5092296047445077,0.6491786295481359,5.065374325193864,0.4444444444444444,0.5925925925925926,0.8518518518518519,0.9259259259259259
compact_32B_rank_hamming,32 B Rank/Hamming,2026,16,26,3.0530084811362834,0.4644756775047057,8.521715344502999,0.5,0.6538461538461539,0.8461538461538461,0.8846153846153846
compact_32B_rank_hamming,32 B Rank/Hamming,2026,32,24,3.2396332383918165,0.6161698522014885,8.781782410689441,0.4583333333333333,0.7083333333333334,0.7916666666666666,0.875
compact_64B_orientation_l1,64 B 方向/L1,2026,8,34,1.258751936601672,1.0593595627169425,2.0444679485362,0.23529411764705882,0.47058823529411764,0.9117647058823529,1.0
compact_64B_orientation_l1,64 B 方向/L1,2026,16,32,1.3998488712911628,1.03939367606496,2.1179764806731938,0.1875,0.46875,0.875,1.0
compact_64B_orientation_l1,64 B 方向/L1,2026,32,29,1.4905594484998101,1.06388793078883,2.7953719391153307,0.20689655172413793,0.3448275862068966,0.8620689655172413,1.0
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,2026,8,34,0.5079757283652981,0.39311542542285116,1.0079701920661301,0.6764705882352942,0.9117647058823529,1.0,1.0
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,2026,16,32,0.4653591157982712,0.3579135006988864,0.776067929928838,0.71875,0.96875,1.0,1.0
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,2026,32,29,0.4999331185239968,0.33779299490928744,0.9678428765072083,0.6551724137931034,0.9655172413793104,1.0,1.0
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,2026,8,34,0.48725635369531967,0.2812556561561884,0.989212886088938,0.7647058823529411,0.9411764705882353,1.0,1.0
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,2026,16,32,0.46660232369941035,0.28806104809615274,0.9444409659312696,0.75,0.96875,1.0,1.0
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,2026,32,29,0.43400091979527206,0.30770888095461874,0.8168966963055041,0.6896551724137931,1.0,1.0,1.0
median_binary_32B_hamming,32 B 中值二值基线,2026,8,28,2.743397130373401,1.7038801455995372,4.5356579678911135,0.03571428571428571,0.17857142857142858,0.5357142857142857,0.9642857142857143
