method,method_label_cn,candidate_pool_size,target_year,attempted_gcps,true_candidate_available_count,candidate_coverage_rate_2px,candidate_coverage_rate_5px,candidate_coverage_rate_10px,gcp_reuse_at_1,gcp_reuse_at_5,gcp_reuse_at_10,conditional_reuse_at_1,conditional_reuse_at_5,mean_rank,median_rank,mrr,conditional_mrr,median_margin,p10_margin,p50_margin,p90_margin,reuse_failure_rate,catastrophic_wrong_match_rate,bytes_per_gcp_mean,bytes_per_gcp_median,compression_ratio_mean,median_normalized_margin,p10_normalized_margin,p90_normalized_margin
raw_ncc,原始灰度 NCC,100,2025,470,14,0.0234042553191489,0.0297872340425531,0.0297872340425531,0.0297872340425531,0.0297872340425531,0.0297872340425531,1.0,1.0,1.0,1.0,0.0297872340425531,1.0,0.411196768283844,0.2012584447860718,0.411196768283844,0.6579354882240296,0.9702127659574468,0.0,65536.0,65536.0,1.0,1.3989850726734319,0.61065987337218,2.9134564351027468
raw_ncc,原始灰度 NCC,500,2025,470,28,0.0468085106382978,0.0595744680851063,0.0723404255319148,0.0595744680851063,0.0595744680851063,0.0595744680851063,1.0,1.0,1.0,1.0,0.0595744680851063,1.0,0.3977213501930237,0.1105878889560699,0.3977213501930237,0.616983437538147,0.9404255319148936,0.0,65536.0,65536.0,1.0,1.420932080646864,0.18650988915909214,2.8123735823974827
raw_ncc,原始灰度 NCC,1000,2025,470,40,0.0638297872340425,0.0851063829787234,0.1191489361702127,0.0829787234042553,0.0851063829787234,0.0851063829787234,0.975,1.0,1.1,1.0,0.0834042553191489,0.98,0.3839569985866546,0.1155404031276702,0.3839569985866546,0.6075729846954345,0.9170212765957448,0.002127659574468,65536.0,65536.0,1.0,1.420932080646864,0.19160004384670912,2.774897095813913
raw_ncc,原始灰度 NCC,5000,2025,470,101,0.1531914893617021,0.2148936170212766,0.3127659574468085,0.2127659574468085,0.2127659574468085,0.2127659574468085,0.99009900990099,0.99009900990099,1.1683168316831682,1.0,0.2128841607565011,0.9906490649064906,0.4188368320465088,0.0790573954582214,0.4188368320465088,0.602605938911438,0.7872340425531915,0.002127659574468,65536.0,65536.0,1.0,1.3613845639851077,0.15412920678616532,3.6058658219427278
webp_q30_ncc,WebP Q30 + NCC,100,2025,470,14,0.0234042553191489,0.0297872340425531,0.0297872340425531,0.0297872340425531,0.0297872340425531,0.0297872340425531,1.0,1.0,1.0,1.0,0.0297872340425531,1.0,0.4068615436553955,0.2005480170249939,0.4068615436553955,0.6536048650741578,0.9702127659574468,0.0,11710.825531914894,12168.0,6.225450400084919,1.40429397297643,0.6138965289012683,2.8473201957358567
webp_q30_ncc,WebP Q30 + NCC,500,2025,470,28,0.0468085106382978,0.0595744680851063,0.0723404255319148,0.0595744680851063,0.0595744680851063,0.0595744680851063,1.0,1.0,1.0,1.0,0.0595744680851063,1.0,0.393063485622406,0.1104937732219696,0.393063485622406,0.6097618520259858,0.9404255319148936,0.0,11710.825531914894,12168.0,6.225450400084919,1.4206233665263157,0.18706222460361413,2.764149210743183
webp_q30_ncc,WebP Q30 + NCC,1000,2025,470,40,0.0638297872340425,0.0851063829787234,0.1191489361702127,0.0829787234042553,0.0851063829787234,0.0851063829787234,0.975,1.0,1.1,1.0,0.0834042553191489,0.98,0.3776643574237823,0.1155590593814849,0.3776643574237823,0.5988748371601105,0.9170212765957448,0.002127659574468,11710.825531914894,12168.0,6.225450400084919,1.4206233665263157,0.19211743950978624,2.66978730453938
webp_q30_ncc,WebP Q30 + NCC,5000,2025,470,101,0.1531914893617021,0.2148936170212766,0.3127659574468085,0.2127659574468085,0.2127659574468085,0.2127659574468085,0.99009900990099,0.99009900990099,1.198019801980198,1.0,0.2128672745694022,0.9905704856199906,0.4142033457756042,0.0799525380134582,0.4142033457756042,0.5950965881347656,0.7872340425531915,0.002127659574468,11710.825531914894,12168.0,6.225450400084919,1.3393152428804447,0.15392717071294978,3.4612965869331958
jpeg2000_100_ncc,JPEG2000 100 + NCC,100,2025,470,14,0.0234042553191489,0.0297872340425531,0.0297872340425531,0.0297872340425531,0.0297872340425531,0.0297872340425531,1.0,1.0,1.0,1.0,0.0297872340425531,1.0,0.4064364433288574,0.2007655024528503,0.4064364433288574,0.6455346763134003,0.9702127659574468,0.0,6447.934042553192,6489.0,10.16704420018675,1.435764820276447,0.6310695746801483,2.6173460072973374
jpeg2000_100_ncc,JPEG2000 100 + NCC,500,2025,470,28,0.0468085106382978,0.0595744680851063,0.0723404255319148,0.0595744680851063,0.0595744680851063,0.0595744680851063,1.0,1.0,1.0,1.0,0.0595744680851063,1.0,0.3982872664928436,0.1095872104167938,0.3982872664928436,0.593624484539032,0.9404255319148936,0.0,6447.934042553192,6489.0,10.16704420018675,1.4299563984030286,0.18849434649238136,2.6940492259348523
jpeg2000_100_ncc,JPEG2000 100 + NCC,1000,2025,470,40,0.0638297872340425,0.0851063829787234,0.1191489361702127,0.0829787234042553,0.0851063829787234,0.0851063829787234,0.975,1.0,1.1,1.0,0.0834042553191489,0.98,0.3721254467964172,0.1149804651737213,0.3721254467964172,0.5806361496448517,0.9170212765957448,0.002127659574468,6447.934042553192,6489.0,10.16704420018675,1.4299563984030286,0.19266056058702605,2.5272025079373295
jpeg2000_100_ncc,JPEG2000 100 + NCC,5000,2025,470,101,0.1531914893617021,0.2148936170212766,0.3127659574468085,0.2127659574468085,0.2127659574468085,0.2127659574468085,0.99009900990099,0.99009900990099,1.2673267326732671,1.0,0.2128419452887537,0.9904526166902404,0.409971535205841,0.0818513035774231,0.409971535205841,0.5796278119087219,0.7872340425531915,0.002127659574468,6447.934042553192,6489.0,10.16704420018675,1.3432327163183881,0.15103325852809735,3.1154016281475663
compact_32B_rank_hamming,32 B Rank/Hamming,100,2025,470,14,0.0234042553191489,0.0297872340425531,0.0297872340425531,0.025531914893617,0.0276595744680851,0.0276595744680851,0.8571428571428571,0.9285714285714286,2.0,1.0,0.0267477203647416,0.8979591836734694,0.09375,0.009375,0.09375,0.156640625,0.9744680851063828,0.0042553191489361,32.0,32.0,2048.0,0.3487394957968505,0.053932584269507804,0.673069852938527
compact_32B_rank_hamming,32 B Rank/Hamming,500,2025,470,28,0.0468085106382978,0.0595744680851063,0.0723404255319148,0.051063829787234,0.0531914893617021,0.0531914893617021,0.8571428571428571,0.8928571428571429,8.178571428571429,1.0,0.0522828190277838,0.8776044622520865,0.09375,-0.0117187499999999,0.09375,0.1546875,0.948936170212766,0.0085106382978723,32.0,32.0,2048.0,0.3570261437893219,-0.02678571428565305,0.6733333333289367
