method,method_label_cn,bytes_per_gcp_mean,gcp_count,total_bytes,total_gib
raw_ncc,原始灰度 NCC,65536.0,1000000,65536000000.0,61.03515625
raw_ncc,原始灰度 NCC,65536.0,10000000,655360000000.0,610.3515625
raw_ncc,原始灰度 NCC,65536.0,100000000,6553600000000.0,6103.515625
webp_q30_ncc,WebP Q30 + NCC,11697.416,1000000,11697416000.0,10.894067585468292
webp_q30_ncc,WebP Q30 + NCC,11697.416,10000000,116974160000.0,108.94067585468292
webp_q30_ncc,WebP Q30 + NCC,11697.416,100000000,1169741600000.0,1089.4067585468292
jpeg2000_100_ncc,JPEG2000 100 + NCC,6445.972,1000000,6445972000.0,6.003279238939285
jpeg2000_100_ncc,JPEG2000 100 + NCC,6445.972,10000000,64459720000.0,60.03279238939285
jpeg2000_100_ncc,JPEG2000 100 + NCC,6445.972,100000000,644597200000.0,600.3279238939285
compact_32B_rank_hamming,32 B Rank/Hamming,32.0,1000000,32000000.0,0.029802322387695312
compact_32B_rank_hamming,32 B Rank/Hamming,32.0,10000000,320000000.0,0.2980232238769531
compact_32B_rank_hamming,32 B Rank/Hamming,32.0,100000000,3200000000.0,2.9802322387695312
compact_64B_orientation_l1,64 B 方向/L1,64.0,1000000,64000000.0,0.059604644775390625
compact_64B_orientation_l1,64 B 方向/L1,64.0,10000000,640000000.0,0.5960464477539062
compact_64B_orientation_l1,64 B 方向/L1,64.0,100000000,6400000000.0,5.9604644775390625
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,128.0,1000000,128000000.0,0.11920928955078125
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,128.0,10000000,1280000000.0,1.1920928955078125
compact_128B_dct_sign_hamming,128 B DCT 符号/Hamming,128.0,100000000,12800000000.0,11.920928955078125
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,256.0,1000000,256000000.0,0.2384185791015625
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,256.0,10000000,2560000000.0,2.384185791015625
compact_256B_mag_orientation_hamming,256 B 幅值+方向/Hamming,256.0,100000000,25600000000.0,23.84185791015625
median_binary_32B_hamming,32 B 中值二值基线,32.0,1000000,32000000.0,0.029802322387695312
median_binary_32B_hamming,32 B 中值二值基线,32.0,10000000,320000000.0,0.2980232238769531
median_binary_32B_hamming,32 B 中值二值基线,32.0,100000000,3200000000.0,2.9802322387695312
